Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,10uF,C15850
"C10, C3, C4, C5, C6, C7, C8, C9",0402,8,100nF,
"C20, C21, C22, C23, C24, C25",1206,6,22uF,C12891
D1,D_SOD-323,1,1N5817WS,C727114
"D2, D3, D4, D5",D_SMA,4,STPS1L30,C157388
"FB1, FB2, FB3",0805,3,FerriteBead,C216152
"J2, J3",PinSocket_2x04_P2.54mm_Vertical,2,Conn_02x04_Odd_Even,
Q1,SOT-23,1,MBT2222A,C8512
"R1, R2",0402,2,1K,
"R21, R22, R23",0402,3,22K,
"R24, R25, R26",0402,3,10K,
"R27, R28, R29, R30, R31, R32, R33, R34",0402,8,100K,
"R35, R36, R37, R38, R39, R40",0402,6,220K,
"TP1, TP2, TP3, TP4, TP5, TP6",TestPoint_Pad_D1.5mm,6,TestPoint,
U1,SOT-23,1,LM4040B30FTA,C460604
U2,MSOP-10_3x3mm_P0.5mm,1,MCP4728,C108207
"U3, U4",SOIC-14_3.9x8.7mm_P1.27mm,2,TL074,C107644
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP6002,C7377
