Designator,Mid X,Mid Y,Rotation,Layer
C1,133.6548,-61.8236,90.0,top
C10,141.478,-111.76,180.0,top
C11,124.968,-92.751,90.0,top
C12,127.508,-106.213,270.0,top
C13,129.03,-106.213,270.0,top
C14,131.318,-92.751,90.0,top
C2,128.8796,-64.6964,270.0,top
C20,138.081666,-129.286,0.0,top
C21,138.049,-134.874,0.0,top
C22,138.097999,-137.668,0.0,top
C23,138.176,-151.384,0.0,top
C24,138.176,-148.59,0.0,top
C25,138.065333,-132.08,0.0,top
C3,123.085,-100.299,180.0,top
C4,133.35,-100.299,180.0,top
C5,151.257,-110.9752,270.0,top
C6,141.478,-110.49,0.0,top
C7,148.59,-95.631,180.0,top
C8,131.064,-85.1916,270.0,top
C9,141.478,-109.093,180.0,top
D1,131.6736,-77.597,0.0,top
D2,144.78,-57.15,270.0,top
D3,139.351,-145.161,180.0,top
D4,139.351,-141.224,0.0,top
D5,139.287,-125.73,0.0,top
FB1,141.859,-130.048,90.0,top
FB2,141.859,-136.906,270.0,top
FB3,141.859,-149.86,90.0,top
J1,149.987,-147.32,180.0,top
J2,143.235,-65.725,180.0,bottom
J3,121.015,-113.625,270.0,bottom
J4,153.67,-52.705,0.0,top
J5,127.381,-78.232,90.0,bottom
J6,128.688981,-129.286,0.0,top
Q1,131.7498,-72.8218,270.0,top
R1,141.478,-107.823,180.0,top
R2,141.478,-113.03,180.0,top
R21,151.257,-107.315,90.0,top
R22,146.685,-103.124,180.0,top
R23,141.732,-98.171,90.0,top
R24,143.2052,-62.0776,270.0,top
R25,143.256,-76.8604,270.0,top
R26,131.2164,-79.6036,0.0,top
R27,133.223,-75.692,180.0,top
R28,152.527,-108.3564,90.0,top
R29,140.589,-106.043,90.0,top
R3,126.238,-92.753,90.0,top
R30,140.589,-114.808,270.0,top
R31,123.063,-97.79,180.0,top
R32,123.061,-101.5492,180.0,top
R33,133.35,-101.5492,0.0,top
R34,133.35,-97.776,0.0,top
R35,141.986,-106.043,270.0,top
R36,141.986,-114.808,90.0,top
R37,123.063,-96.393,0.0,top
R38,123.6472,-103.4796,90.0,top
R39,132.8928,-103.4796,90.0,top
R4,127.508,-92.751,90.0,top
R40,133.35,-96.393,180.0,top
R5,128.778,-92.749,90.0,top
R6,130.048,-92.751,90.0,top
RPI1,118.925,-52.665,0.0,top
U1,131.572,-66.421,0.0,top
U2,128.381,-86.909,270.0,top
U3,146.6088,-110.49,90.0,top
U4,128.268,-100.299,270.0,top
U5,146.623,-99.441,270.0,top
